Object Name,RA(deg),DEC(deg),Velocity,Redshift,Distance,Best Mag,Abs Mag,Photometry/Distance Note,General Note,StarSub Spectrum Name,NED Name,AGC#,Source,RA_SDSS,Dec_SDSS,z_SDSS,plate,fiberID,URL,SDSS Raw Spectrum,specObjID,Nucl/extra,RA_HI,DEC_HI,RA_AA oc,DEC_AA oc,AA_cz,Name,HI position,OC position,HI FWHM,HI Flux,S/N,rms,AA Dist,HI Mass,Observed?,4M,MDM,Lick,Palomar,HET,Note,Spectrum Quality,EXP Time,,,,,,,,,,,
140348.60+152408.2,210.95251,15.4023,5262,0.017552,80.3917,15.075,-19.45105606,-,,t772600433184079872_ssub.fits,UGC 08977,8977,SDSS,210.95251,15.402301,0.0174483004957438,2744,149,http://das.sdss.org/spectro/1d_26/2744/1d/spSpec-54272-2744-149.fit,772600433184079872.fit,772600433184079872,n,210.945,15.40333333,210.9520833,15.40222222,5261,103-056,140346.8+152412,140348.5+152408,275(  2),7.16(0.09),46,2.09,77.5,10.01,,,,,,,,,,,,,,,,,,,,
095642.58+153815.8,149.17745,15.63773,4597,0.015334,68.0375,14.713958,-19.45,-,,,UGC 05342,5342,SDSS,149.17726,15.63769,0.0152295995503664,2583,62,http://das.sdss.org/spectro/1d_26/2583/1d/spSpec-54095-2583-062.fit,727282201359548416.fit,727282201359548416,e,149.1779167,15.63416667,149.1770833,15.63694444,4589,093-004,095642.7+153803,095642.5+153813,269( 19),5.67(0.11),31.1,2.48,68.1,9.79,MDM2009 N6 354,,MDM2009 N6 354,,,,pilot,,,,,,,,,,,,,
140828.00+155515.3,212.11668,15.920934,5118.494431,0.0170736,78.786,15.039527,-19.44271826,-,,t772881733212176384_ssub.fits,,241400,SDSS,212.11668,15.920934,0.0170735996216536,2745,422,http://das.sdss.org/spectro/1d_26/2745/1d/spSpec-54231-2745-422.fit,772881733212176384.fit,772881733212176384,n,212.1120833,15.91694444,212.1166667,15.92083333,5124,103-080,140826.9+155501,140828.0+155515,236(  6),1.08(0.08),7.5,2.09,75.6,9.16,,,,,,,,,,,,,,,,,,,,
141212.71+155208.0,213.05299,15.86889,5212,0.017385,80.475,15.09968,-19.42862493,-,,t772881733489000448_ssub.fits,NGC 5504B,,SDSS,213.05299,15.868888,0.0174695998430252,2745,488,http://das.sdss.org/spectro/1d_26/2745/1d/spSpec-54231-2745-488.fit,772881733489000448.fit,772881733489000448,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104645.73+114911.7,161.69058,11.81994,897,0.002992,11.7931,10.930447,-19.427693,-,,,MESSIER 096,5882,NED,,,,,,,,,,161.6891667,11.8225,161.6904167,11.81972222,893,N3368,104645.4+114921,104645.7+114911,343(  3),78.64(0.12),381.5,2.49,9.9,9.26,HFS,,,,,,pilot,,,,,,,,,,,,,
140449.46+112343.8,211.20612,11.39551,4159,0.013873,65.2986,14.649987,-19.42453235,-,,t479582952448065536_ssub.fits,CGCG 074-086,,SDSS,211.20612,11.39551,0.01382050011307,1703,516,http://das.sdss.org/spectro/1d_26/1703/1d/spSpec-53799-1703-516.fit,479582952448065536.fit,479582952448065536,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160431.74+144908.9,241.13229,14.81914,4579,0.015274,70.9371,14.830043,-19.424324,-,,,UGC 10169,,NED,,,,,,,,,,,,,,,,,,,,,,,,Lick2009mar N1 45,,,Lick2009mar N1 45,,,,,,,,,,,,,,,,
093447.52+101701.3,143.698,10.28371,2432,0.008112,37.5379,13.453821,-19.418529,-,,,NGC 2919,5102,SDSS,143.698,10.28371,0.00782592035830021,1741,137,http://das.sdss.org/spectro/1d_26/1741/1d/spSpec-53052-1741-137.fit,490275791632859136.fit,490275791632859136,e,143.6966667,10.28944444,143.6979167,10.28305556,2427,N2919,093447.2+101722,093447.5+101659,313(  3),6.77(0.11),34.2,2.5,34.7,9.28,MDM2009 N2 154,,MDM2009 N2 154,,,,,,,,,,,,,,,,,
101250.50+124000.0,153.21042,12.66667,2808,0.009366,43.5571,13.778214,-19.417081,-,,,NGC 3153,5505,SDSS,153.21046,12.66659,0.00938007980585098,1745,175,http://das.sdss.org/spectro/1d_26/1745/1d/spSpec-53061-1745-175.fit,491401730353790976.fit,491401730353790976,e,153.2104167,12.66916667,153.21,12.66666667,2811,N3153,101250.5+124009,101250.4+124000,253(  2),18.35(0.10),104.2,2.47,32.7,9.66,MDM2008 N2 37; MDM2008 N3 27,,MDM2008 N2 37; MDM2008 N3 27,,,,pilot,,,,,,,,,,,,,
140859.33+144529.5,212.24721,14.758197,5173.506,0.0172571,79.5992,15.101646,-19.40289751,-,,t772881732629168128_ssub.fits,,,SDSS,212.24721,14.758197,0.0172570999711752,2745,283,http://das.sdss.org/spectro/1d_26/2745/1d/spSpec-54231-2745-283.fit,772881732629168128.fit,772881732629168128,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140108.92+083501.2,210.2872,8.58369,4876,0.016265,75.093,14.987141,-19.39085627,-,,t508857963436310528_ssub.fits,CGCG 074-038,231601,SDSS,210.2872,8.5836949,0.0160996001213789,1807,159,http://das.sdss.org/spectro/1d_26/1807/1d/spSpec-54175-1807-159.fit,508857963436310528.fit,508857963436310528,n,210.3,8.581111111,210.2870833,8.583333333,4864,9074-038,140112.0+083452,140108.9+083500,400( 15),1.69(0.12),7.7,2.46,71.5,9.31,,,,,,,,,,,,,,,,,,,,
095747.77+150732.1,149.44905,15.1256,3651,0.012178,55.0795,14.327499,-19.37745095,-,,t727563927113695232_ssub.fits,CGCG 093-007,191407,SDSS,149.44905,15.125604,0.0121719995513558,2584,460,http://das.sdss.org/spectro/1d_26/2584/1d/spSpec-54153-2584-460.fit,727563927113695232.fit,727563927113695232,n,149.4470833,15.12694444,149.44875,15.12527778,3641,093-007,095747.3+150737,095747.7+150731,299(  5),1.55(0.08),10.8,1.86,54.8,9.04,,,,,,,pilot,,,,,,,,,,,,,
141041.34+133328.7,212.67229,13.558,4866,0.016231,75.4696,15.021155,-19.36770524,-,,t480425843391201280_ssub.fits,CGCG 074-129,,SDSS,212.67229,13.557996,0.0162560995668173,1706,353,http://das.sdss.org/spectro/1d_26/1706/1d/spSpec-53442-1706-353.fit,480425843391201280.fit,480425843391201280,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113701.89+153414.1,174.2579,15.57061,3968.050375,0.0132361,61.3027,14.573495,-19.36390301,-,,t494217876933181440_ssub.fits,,6586,SDSS,174.2579,15.57061,0.0132360998541117,1755,401,http://das.sdss.org/spectro/1d_26/1755/1d/spSpec-53386-1755-401.fit,494217876933181440.fit,494217876933181440,n,174.2595833,15.56916667,174.2579167,15.57055556,3956,097-028,113702.3+153409,113701.9+153414,257(  2),13.60(0.08),91.4,2.07,59,10.05,,,,,,,pilot,,,,,,,,,,,,,
100946.28+051022.5,152.44284,5.17294,4143,0.013819,62.3061,14.610433,-19.36221984,-,,t161509898176167936_ssub.fits,CGCG 036-045,201297,SDSS,152.44284,5.1729273,0.013816500082612,573,562,http://das.sdss.org/spectro/1d_26/0573/1d/spSpec-52325-0573-562.fit,161509898176167936.fit,161509898176167936,n,152.4441667,5.177222222,152.4429167,5.172777778,4144,036-045,100946.6+051038,100946.3+051022,173(  7),4.41(0.09),29.2,2.56,62.2,9.6,,,,,,,,,,,,,,,,,,,,
153523.21+120251.3,233.84672,12.0476,1827,0.006094,32.0261,13.172936,-19.35458428,-,,t775415047202537472_ssub.fits,NGC 5957,9915,SDSS,233.84672,12.047599,0.00611016014590859,2754,552,http://das.sdss.org/spectro/1d_26/2754/1d/spSpec-54240-2754-552.fit,775415047202537472.fit,775415047202537472,n,233.8479167,12.0475,233.8466667,12.04722222,1828,N5957,153523.5+120251,153523.2+120250,98(  2),24.38(0.07),222.4,2.47,30,9.71,,,,,,,,,,,,,,,,,,,,
082259.36+041635.2,125.74735,4.27646,4317,0.0144,62.0855,14.620437,-19.344514,-,,,CGCG 032-012,,NED,,,,,,,,,,,,,,,,,,,,,,,,MDM2009 N1 52,,MDM2009 N1 52,,,,,,,,,,,,,,,,,
160449.82+082851.9,241.2076,8.48109,5234,0.017458,80.1087,15.174975,-19.34342342,-,companion,t486901555446939648_ssub.fits,CGCG 079-039,261303,SDSS,241.2076,8.4810949,0.0174623001366854,1729,564,http://das.sdss.org/spectro/1d_26/1729/1d/spSpec-53858-1729-564.fit,486901555446939648.fit,486901555446939648,n,241.2245833,8.483611111,241.2070833,8.480833333,5109,079-039,160453.9+082901,160449.7+082851,190( 16),1.91(0.09),12.2,2.53,75.9,9.41,,,,,,,,,,,,,,,,,,,,
141427.34+153642.4,213.61392,15.61178,4716,0.015731,73.3767,14.98452,-19.34327088,-,,t772881733790990336_ssub.fits,CGCG 103-124,241447,SDSS,213.61414,15.611756,0.0157479997724295,2745,560,http://das.sdss.org/spectro/1d_26/2745/1d/spSpec-54231-2745-560.fit,772881733790990336.fit,772881733790990336,n,213.6154167,15.60944444,213.6133333,15.61166667,4687,103-124,141427.7+153634,141427.2+153642,245( 58),2.91(0.09),18.7,2.22,69.5,9.52,,,,,,,,,,,,,,,,,,,,
104741.47+110437.4,161.92283,11.077074,2723.139433,0.00908349,42.9457,13.823913,-19.34068543,-,,t450869565597941760_ssub.fits,,5897,SDSS,161.92283,11.077074,0.00908348988741636,1601,166,http://das.sdss.org/spectro/1d_26/1601/1d/spSpec-53115-1601-166.fit,450869565597941760.fit,450869565597941760,n,161.9233333,11.08055556,161.9229167,11.07666667,2718,066-015,104741.6+110450,104741.5+110436,296(  2),13.22(0.08),91.7,1.87,33.7,9.55,,,,,,,pilot,,,,,,,,,,,,,
094423.48+111352.7,146.09787,11.23131,5086,0.016965,74.5143,15.041506,-19.31969213,-,,t490557270942285824_ssub.fits,CGCG 063-056,190470,SDSS,146.09788,11.231296,0.0169890001416206,1742,146,http://das.sdss.org/spectro/1d_26/1742/1d/spSpec-53053-1742-146.fit,490557270942285824.fit,490557270942285824,n,146.0991667,11.23305556,146.0979167,11.23138889,5068,063-056,094423.8+111359,094423.5+111353,103(  2),3.85(0.07),34.2,2.47,74.9,9.71,,,,,,,pilot,,,,,,,,,,,,,
114009.38+151938.2,175.0391,15.3273,3312,0.011048,52.4495,14.28041,-19.31829676,-,,t494217877751070720_ssub.fits,NGC 3799,,SDSS,175.0391,15.327303,0.0111293001100421,1755,596,http://das.sdss.org/spectro/1d_26/1755/1d/spSpec-53386-1755-596.fit,494217877751070720.fit,494217877751070720,n,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,,,,,,,,
111730.17+043320.0,169.37573,4.55557,1585,0.005287,27.5761,12.892864,-19.3098,-,,,NGC 3604,6305,NED,,,,,,,,,,169.3754167,4.5625,169.375,4.555277778,1612,N3611,111730.1+043345,111730.0+043319,375( 80),16.68(0.11),83.1,2.31,26,9.43,MDM2009 N1 71,,MDM2009 N1 71,,,,,,,,,,,,,,,,,
080139.47+104357.7,120.41449,10.73272,4864,0.016225,69.3269,14.900806,-19.3037029,-,,t680837537853341696_ssub.fits,CGCG 059-017,170315,SDSS,120.41449,10.732722,0.0162917003035545,2418,166,http://das.sdss.org/spectro/1d_26/2418/1d/spSpec-53794-2418-166.fit,680837537853341696.fit,680837537853341696,n,120.41,10.73444444,120.4145833,10.73277778,4864,059-017,080138.4+104404,080139.5+104358,319( 26),1.61(0.10),8.9,2.25,71.6,9.29,,,,,,,,,,,,,,,,,,,,
100422.46+133716.3,151.09361,13.62121,2895.347938,0.00965792,44.6914,13.949929,-19.3011908,-,,,,5425,SDSS,151.09361,13.62121,0.00965792033821344,2586,224,http://das.sdss.org/spectro/1d_26/2586/1d/spSpec-54169-2586-224.fit,728126944796737536.fit,728126944796737536,e,151.0958333,13.62555556,151.0941667,13.62111111,2803,N3107,100423.0+133732,100422.6+133716,204(  2),1.75(0.07),13.2,2.07,42.8,8.88,Lick2008 N1 17,,,Lick2008 N1 17,,,pilot,,,,,,,,,,,,,
091840.62+134946.1,139.66927,13.82949,3481,0.011611,52.1023,14.28416,-19.30012448,-,,t686468162362802176_ssub.fits,UGC 04931,,SDSS,139.66927,13.829488,0.0116488998755813,2438,93,http://das.sdss.org/spectro/1d_26/2438/1d/spSpec-54056-2438-093.fit,686468162362802176.fit,686468162362802176,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153458.54+114501.0,233.74392,11.75029,1899,0.006334,33.0406,13.298049,-19.29719063,-,,t775415045373820928_ssub.fits,NGC 5956,9908,SDSS,233.74392,11.750287,0.00634932005777955,2754,116,http://das.sdss.org/spectro/1d_26/2754/1d/spSpec-54240-2754-116.fit,775415045373820928.fit,775415045373820928,n,233.745,11.75194444,233.7441667,11.75,1901,N5956,153458.8+114507,153458.6+114500,147(  2),8.11(0.07),64.6,2.3,31,9.26,,,,,,,,,,,,,,,,,,,,
161415.91+093213.8,243.56632,9.53719,3240,0.010807,52.5085,14.316863,-19.28428506,-,,t712084658312970240_ssub.fits,IC 1205,260337,SDSS,243.56632,9.5371892,0.0108783002942801,2529,339,http://das.sdss.org/spectro/1d_26/2529/1d/spSpec-54585-2529-339.fit,712084658312970240.fit,712084658312970240,n,243.5633333,9.531666667,243.5658333,9.536388889,3243,I1205,161415.2+093154,161415.8+093211,198(  4),5.35(0.08),37,2.3,50,9.5,,,,,,,,,,,,,,,,,,,,
080006.29+130907.6,120.02622,13.15212,4622,0.015417,65.7083,14.824548,-19.263553,-,,t637489909761835008_ssub.fits,UGC 04154,4154,SDSS,120.02622,13.152123,0.0154331000521779,2264,13,http://das.sdss.org/spectro/1d_26/2264/1d/spSpec-53682-2264-013.fit,637489909761835008.fit,637489909761835008,n,120.0275,13.15583333,120.02625,13.15194444,4626,059-011,080006.6+130921,080006.3+130907,260(  4),3.91(0.11),20,2.71,68.1,9.63,,,,,,,,,,,,,,,,,,,,
100045.20+044403.5,150.18837,4.73432,3978,0.01327,59.609,14.614455,-19.26210418,-,,t161228268458999808_ssub.fits,UGC 05383,,SDSS,150.18837,4.7343227,0.0132710002362728,572,533,http://das.sdss.org/spectro/1d_26/0572/1d/spSpec-52289-0572-533.fit,161228268458999808.fit,161228268458999808,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105837.56+090301.6,164.65653,9.05045,2662,0.008879,41.5181,13.830916,-19.26027135,-,,t343625916481536000_ssub.fits,UGC 06062,,SDSS,164.65654,9.0504494,0.00875927973538637,1220,318,http://das.sdss.org/spectro/1d_26/1220/1d/spSpec-52723-1220-318.fit,343625916481536000.fit,343625916481536000,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
080020.97+111910.0,120.08741,11.31945,4497,0.015,63.8729,14.776383,-19.25020017,-,,t680837539128410112_ssub.fits,2MASX J08002096+1119098,181605,SDSS,120.08741,11.319454,0.0149630000814795,2418,470,http://das.sdss.org/spectro/1d_26/2418/1d/spSpec-53794-2418-470.fit,680837539128410112.fit,680837539128410112,n,120.0858333,11.31805556,120.0875,11.31944444,4501,,080020.6+111905,080021.0+111910,197(  9),3.56(0.08),25.2,2.25,66.5,9.57,,,,,,,,,,,,,,,,,,,,
135838.56+071259.6,209.66067,7.21656,4401,0.01468,69.1199,14.95082,-19.24719551,-,,t509139443815284736_ssub.fits,UGC 08896,8896,SDSS,209.66092,7.2165173,0.0146874003112316,1808,423,http://das.sdss.org/spectro/1d_26/1808/1d/spSpec-54176-1808-423.fit,509139443815284736.fit,509139443815284736,n,209.6566667,7.218611111,209.6608333,7.215833333,4403,046-029,135837.6+071307,135838.6+071257,288(  7),5.86(0.10),32.1,2.4,64.8,9.76,,,,,,,,,,,,,,,,,,,,
103710.21+123908.8,159.29258,12.65247,2889,0.009637,45.0971,14.025398,-19.245345,-,,,NGC 3306,5774,SDSS,159.29256,12.65257,0.00993749033659697,1748,132,http://das.sdss.org/spectro/1d_26/1748/1d/spSpec-53112-1748-132.fit,492246374146899968.fit,492246374146899968,e,159.2920833,12.65583333,159.2929167,12.65222222,2889,N3306,103710.1+123921,103710.3+123908,265(  3),11.27(0.09),66,2.34,44,9.71,MDM2008 N1 33; MDM2008 N3 31,,MDM2008 N1 33; MDM2008 N3 31,,,,pilot,,,,,,,,,,,,,
103419.80+134516.4,158.5825,13.75458,2966,0.009894,46.1705,14.082254,-19.239569,-,,,UGC 05739,5739,SDSS,158.58297,13.75342,0.0100761000066996,1747,629,http://das.sdss.org/spectro/1d_26/1747/1d/spSpec-53075-1747-629.fit,491964742340968448.fit,491964742340968448,e,158.5804167,13.74666667,158.5833333,13.75277778,2968,065-058,103419.3+134448,103420.0+134510,238( 14),2.25(0.10),12,2.71,45.1,9.03,MDM2008 N1 32,,MDM2008 N1 32,,,,pilot,,,,,,,,,,,,,
080158.49+150331.4,120.49372,15.05875,4842,0.01615,68.7188,14.947247,-19.23813084,-,,t638052848935895040_ssub.fits,UGC 04175,,SDSS,120.49372,15.058754,0.0161365997046232,2266,515,http://das.sdss.org/spectro/1d_26/2266/1d/spSpec-53679-2266-515.fit,638052848935895040.fit,638052848935895040,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
082425.83+041451.6,126.10763,4.24768,4142,0.013816,58.9174,14.614083,-19.23713487,-,,t333773945180258304_ssub.fits,CGCG 032-019,,SDSS,126.10763,4.2476805,0.0136217996478081,1185,503,http://das.sdss.org/spectro/1d_26/1185/1d/spSpec-52642-1185-503.fit,333773945180258304.fit,333773945180258304,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111506.20+144713.2,168.77586,14.78702,1193,0.003979,22.458,12.535722,-19.221133,-,,,NGC 3596,6277,SDSS,168.77586,14.78701,0.00400699023157358,1752,481,http://das.sdss.org/spectro/1d_26/1752/1d/spSpec-53379-1752-481.fit,493373422273822720.fit,493373422273822720,e,168.775,14.78388889,168.7758333,14.78666667,1193,N3596,111506.0+144702,111506.2+144712,118(  2),35.70(0.07),332.7,2.2,20.7,9.56,MDM2009 N2 170,,MDM2009 N2 170,,,,pilot,,,,,,,,,,,,,
160428.18+144656.7,241.11743,14.78243,4702,0.015684,71.9182,15.077582,-19.20661205,-,,t710677210859569152_ssub.fits,UGC 10164,,SDSS,241.11743,14.782429,0.0155012998729944,2524,445,http://das.sdss.org/spectro/1d_26/2524/1d/spSpec-54568-2524-445.fit,710677210859569152.fit,710677210859569152,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113713.52+152557.1,174.30635,15.43253,4047,0.013499,62.4079,14.772232,-19.203966,-,,,UGC 06588,6588,NED,,,,,,,,,,174.3016667,15.43777778,174.30625,15.4325,4036,097-029,113712.4+152616,113713.5+152557,280(  3),3.34(0.10),17.9,2.49,60.1,9.45,Lick2008 N2 71; MDM2010 N4 190,,MDM2010 N4 190,Lick2008 N2 71,,,pilot,,,,,,,,,,,,,
090922.55+154746.1,137.34398,15.79616,3808,0.012702,56.2164,14.547967,-19.201348,-,,,IC 0528,4811,NED,,,,,,,,,,137.3441667,15.79305556,137.3441667,15.79583333,3783,I 528,090922.6+154735,090922.6+154745,352(  2),4.98(0.10),26.7,2.22,56.6,9.58,MDM2009 N1 60,,MDM2009 N1 60,,,,,,,,,,,,,,,,,
090208.40+081805.9,135.53504,8.30166,2583,0.008616,38.9949,13.756493,-19.198546,-,,,NGC 2731,4741,NED,,,,,,,,,,135.5316667,8.298055556,135.5345833,8.301111111,2582,N2731,090207.6+081753,090208.3+081804,147(  7),2.32(0.07),19.8,2.16,39.8,8.94,MDM2009 N2 150,,MDM2009 N2 150,,,,,,,,,,,,,,,,,
114139.73+155756.5,175.41556,15.96572,3220,0.010741,50.7347,14.329459,-19.19706648,-,,t495906683525005312_ssub.fits,UGC 06653,6653,SDSS,175.41556,15.965716,0.010733500123024,1761,325,http://das.sdss.org/spectro/1d_26/1761/1d/spSpec-53376-1761-325.fit,495906683525005312.fit,495906683525005312,n,175.4183333,15.96416667,175.4154167,15.96555556,3219,097-056,114140.4+155751,114139.7+155756,334(  5),1.69(0.10),9.4,2.2,48.5,8.97,,,,,,,pilot,,,,,,,,,,,,,
141215.79+155245.6,213.0658,15.87934,5249,0.017509,80.5841,15.34,-19.1912468,-,,,NGC 5504C,9086,SDSS,213.06669,15.879846,0.0175491999834776,2745,482,http://das.sdss.org/spectro/1d_26/2745/1d/spSpec-54231-2745-482.fit,772881733463834624.fit,772881733463834624,n,213.0591667,15.88111111,213.0654167,15.87916667,5249,103-115,141214.2+155252,141215.7+155245,203(  5),7.61(0.09),50.4,2.37,77.4,10.03,,,,,,,,,,,,,,,,,,,,
140014.59+085802.9,210.06083,8.9675,4101,0.013679,64.5755,14.86309,-19.18724889,-,,t508857963499225088_ssub.fits,UGC 08918,8918,SDSS,210.06041,8.9670571,0.0136371999979019,1807,174,http://das.sdss.org/spectro/1d_26/1807/1d/spSpec-54175-1807-174.fit,508857963499225088.fit,508857963499225088,n,210.0629167,8.966666667,210.0604167,8.966944444,4101,074-031,140015.1+085800,140014.5+085801,303(  3),6.70(0.08),45.1,1.91,60.7,9.76,,,,,,,,,,,,,,,,,,,,
104856.35+141311.3,162.23482,14.21983,2956,0.00986,46.2809,14.149749,-19.17726,-,,,NGC 3391,5920,SDSS,162.23483,14.21983,0.00992143992334604,1749,547,http://das.sdss.org/spectro/1d_26/1749/1d/spSpec-53357-1749-547.fit,492528903131234304.fit,492528903131234304,e,162.2391667,14.21361111,162.235,14.21916667,2956,N3391,104857.4+141249,104856.4+141309,213(  2),9.90(0.09),69.1,2.19,44.9,9.67,Lick2008 N1 14+15,,,Lick2008 N1 14+15,,,pilot,,,,,,,,,,,,,
144055.45+142000.7,220.23107,14.33354,5303,0.017689,81.3603,15.379558,-19.17250471,-,,t774007675947057152_ssub.fits,CGCG 104-067,,SDSS,220.23107,14.333541,0.0176694002002478,2749,393,http://das.sdss.org/spectro/1d_26/2749/1d/spSpec-54241-2749-393.fit,774007675947057152.fit,774007675947057152,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140454.73+124216.8,211.22808,12.70469,4178.772731,0.013939,65.8021,14.918759,-19.17243977,-,,t479861758958239744_ssub.fits,,,SDSS,211.22808,12.70469,0.0139389997348189,1704,208,http://das.sdss.org/spectro/1d_26/1704/1d/spSpec-53178-1704-208.fit,479861758958239744.fit,479861758958239744,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141353.52+153035.8,213.47303,15.50995,4667,0.015567,72.5565,15.149603,-19.15377862,-,,t772881733782601728_ssub.fits,CGCG 103-122,,SDSS,213.47303,15.509954,0.0155499996617436,2745,558,http://das.sdss.org/spectro/1d_26/2745/1d/spSpec-54231-2745-558.fit,772881733782601728.fit,772881733782601728,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
090241.40+130628.5,135.6725,13.10792,5010,0.016712,71.6743,15.123624,-19.1531933,-,,t685059773678223360_ssub.fits,CGCG 061-047,180595,SDSS,135.67262,13.107808,0.0164458006620407,2433,48,http://das.sdss.org/spectro/1d_26/2433/1d/spSpec-53820-2433-048.fit,685059773678223360.fit,685059773678223360,n,135.6708333,13.10416667,135.6720833,13.10777778,4972,061-047,090241.0+130615,090241.3+130628,286(  6),6.86(0.10),37.2,2.43,73.4,9.94,,,,,,,,,,,,,,,,,,,,
092221.48+040340.2,140.58954,4.06119,5288,0.017639,76.9549,15.2817,-19.14948139,-,,t160102217628516352_ssub.fits,CGCG 034-037,191172,SDSS,140.5896,4.0612602,0.0176858007907867,568,390,http://das.sdss.org/spectro/1d_26/0568/1d/spSpec-52254-0568-390.fit,160102217628516352.fit,160102217628516352,n,140.59,4.06,140.58875,4.060833333,5300,034-037,092221.6+040336,092221.3+040339,120(  3),1.23(0.06),10.9,2.29,78.3,9.25,,,,,,,,,,,,,,,,,,,,
081044.37+072823.4,122.68488,7.47319,4537,0.015134,64.7978,14.913238,-19.144563,-,,,CGCG 031-062,180950,SDSS,122.68479,7.47306,0.0151346996426582,1756,443,http://das.sdss.org/spectro/1d_26/1756/1d/spSpec-53080-1756-443.fit,494498037826060288.fit,494498037826060288,e,122.6891667,7.466944444,122.685,7.472777778,4520,031-062,081045.4+072801,081044.4+072822,172(  6),0.98(0.08),6.9,2.39,67.1,9.02,MDM2009 N4 212,,MDM2009 N4 212,,,,,,,,,,,,,,,,,
075329.23+143645.1,118.37183,14.61253,4665,0.015561,66.612,14.974106,-19.14365637,-,,t637489911133372416_ssub.fits,UGC 04077,4077,SDSS,118.37166,14.611626,0.0156753994524479,2264,340,http://das.sdss.org/spectro/1d_26/2264/1d/spSpec-53682-2264-340.fit,637489911133372416.fit,637489911133372416,n,118.3725,14.61361111,118.37125,14.61166667,4665,058-062,075329.4+143649,075329.1+143642,161(  4),2.89(0.07),23.8,2.14,68.5,9.5,,,,,,,,,,,,,,,,,,,,
095351.44+133653.6,148.46437,13.61489,4867,0.016235,71.9878,15.143538,-19.14275651,-,,t727563926434217984_ssub.fits,ARK 221,,SDSS,148.46454,13.615107,0.0162976998835802,2584,298,http://das.sdss.org/spectro/1d_26/2584/1d/spSpec-54153-2584-298.fit,727563926434217984.fit,727563926434217984,n,,,,,,,,,,,,,,,,,,,,,pilot,,,,,,,,,,,,,
135922.74+053219.2,209.84476,5.53867,4268,0.014237,67.0382,14.990089,-19.14152272,-,,t241167376870014976_ssub.fits,UGC 08906,8906,SDSS,209.84474,5.5386718,0.0142171997576952,856,599,http://das.sdss.org/spectro/1d_26/0856/1d/spSpec-52339-0856-599.fit,241167376870014976.fit,241167376870014976,n,209.85,5.541111111,209.8445833,5.538611111,4193,046-031,135924.0+053228,135922.7+053219,237(  5),4.09(0.10),24.4,2.43,61.7,9.56,,,,,,,,,,,,,,,,,,,,
143039.34+071630.3,217.66395,7.2750943,1358.918143,0.0045329,24.8561,12.843638,-19.13352694,-,,t514484698714472448_ssub.fits,,9328,SDSS,217.66395,7.2750943,0.00453290017321706,1827,565,http://das.sdss.org/spectro/1d_26/1827/1d/spSpec-53531-1827-565.fit,514484698714472448.fit,514484698714472448,n,217.6641667,7.270277778,217.665,7.274722222,1367,N5645,143039.4+071613,143039.6+071629,185(  2),21.38(0.10),130.4,2.69,23.4,9.44,,,,,,,,,,,,,,,,,,,,
162722.58+112801.7,246.84412,11.46714,4825,0.016094,74.7172,15.237741,-19.12936194,-,,t712647553572667392_ssub.fits,2MASX J16272255+1128022,261620,SDSS,246.84412,11.467141,0.016218900680542,2531,611,http://das.sdss.org/spectro/1d_26/2531/1d/spSpec-54572-2531-611.fit,712647553572667392.fit,712647553572667392,n,246.84875,11.46194444,246.8441667,11.46666667,4850,,162723.7+112743,162722.6+112800,249(  6),2.75(0.14),11.9,3.27,72.8,9.54,,,,,,,,,,,,,,,,,,,,
092636.14+075716.1,141.65059,7.95449,2153,0.007182,33.4615,13.497128,-19.12559903,-,,t336589047243735040_ssub.fits,NGC 2882,5030,SDSS,141.65063,7.9544831,0.00720736011862755,1195,529,http://das.sdss.org/spectro/1d_26/1195/1d/spSpec-52724-1195-529.fit,336589047243735040.fit,336589047243735040,n,141.64625,7.956388889,141.65,7.953611111,2151,N2882,092635.1+075723,092636.0+075713,284(  9),3.81(0.09),24.7,2.04,33.4,9,,,,,,,,,,,,,,,,,,,,
153343.06+150026.2,233.42942,15.00728,1780,0.005937,31.4679,13.368456,-19.12088281,-,,t783297857019969536_ssub.fits,NGC 5951,9895,SDSS,233.42947,15.007251,0.00593105005100369,2782,228,http://das.sdss.org/spectro/1d_26/2782/1d/spSpec-54592-2782-228.fit,783297857019969536.fit,783297857019969536,n,233.4320833,15.01166667,233.4295833,15.00694444,1777,N5951,153343.7+150042,153343.1+150025,266(  2),21.92(0.15),80.3,3.74,29.5,9.65,,,,,,,,,,,,,,,,,,,,
